연번,호선,고유역번호(외부역코드),수송연월,하차인원수,자치구,호선역
136,5,2527,44583,700945,영등포구,여의도(5)
137,5,2528,44583,252209,영등포구,여의나루(5)
138,5,2529,44583,356675,마포구,마포(5)
139,5,2530,44583,349980,마포구,공덕(5)
140,5,2531,44583,166152,마포구,애오개(5)
141,5,2532,44583,112256,서대문구,충정로(5)
142,5,2533,44583,442101,종로구,서대문(5)
143,5,2534,44583,727329,종로구,광화문(5)
144,5,2535,44583,329627,종로구,종로3가(5)
145,5,2536,44583,148631,중구,을지로4가(5)
146,5,2537,44583,81909,중구,동대문역사문화공원(5)
147,5,2538,44583,91799,중구,청구(5)
148,5,2539,44583,164434,성동구,신금호(5)
149,5,2540,44583,185146,성동구,행당(5)
150,5,2541,44583,137199,성동구,왕십리(5)
151,5,2542,44583,142024,성동구,마장(5)
152,5,2543,44583,389303,성동구,답십리(5)
153,5,2544,44583,465681,동대문구,장한평(5)
154,5,2545,44583,319219,광진구,군자(5)
155,5,2546,44583,373954,광진구,아차산(5)
156,5,2547,44583,309642,광진구,광나루(5)
157,5,2548,44583,479514,강동구,천호(5)
158,5,2549,44583,453658,강동구,강동(5)
159,5,2550,44583,220002,강동구,길동(5)
160,5,2551,44583,236168,강동구,굽은다리(5)
161,5,2552,44583,228358,강동구,명일(5)
162,5,2553,44583,236401,강동구,고덕(5)
163,5,2554,44583,358965,강동구,상일동(5)
164,5,2555,44583,223167,강동구,둔촌동(5)
165,5,2556,44583,92674,송파구,올림픽공원(5)
166,5,2557,44583,190890,송파구,방이(5)
167,5,2558,44583,90348,송파구,오금(5)
168,5,2559,44583,168210,송파구,개롱(5)
169,5,2560,44583,220320,송파구,거여(5)
170,5,2561,44583,175071,송파구,마천(5)
171,5,2562,44583,97714,강동구,강일(5)
172,5,2563,44583,413435,하남시,미사(5)
173,5,2564,44583,108695,하남시,하남풍산(5)
174,5,2565,44583,165135,하남시,하남시청(5)
175,5,2566,44583,149121,하남시,하남검단산(5)
176,6,2611,44583,449325,은평구,응암(6)
177,6,2612,44583,114780,은평구,역촌(6)
178,6,2613,44583,109201,은평구,불광(6)
179,6,2614,44583,75841,은평구,독바위(6)
180,6,2616,44583,146016,은평구,구산(6)
181,6,2617,44583,301603,은평구,새절(6)
182,6,2618,44583,259603,은평구,증산(6)
183,6,2619,44583,363111,은평구,디지털미디어시티(6)
184,6,2620,44583,110714,마포구,월드컵경기장(6)
185,6,2621,44583,330193,마포구,마포구청(6)
186,6,2622,44583,415890,마포구,망원(6)
187,6,2623,44583,336297,마포구,합정(6)
188,6,2624,44583,253595,마포구,상수(6)
189,6,2625,44583,216780,마포구,광흥창(6)
190,6,2626,44583,203063,마포구,대흥(6)
191,6,2627,44583,425653,마포구,공덕(6)
192,6,2628,44583,157622,용산구,효창공원앞(6)
193,6,2629,44583,141142,용산구,삼각지(6)
194,6,2630,44583,126877,용산구,녹사평(6)
195,6,2631,44583,279597,용산구,이태원(6)
196,6,2632,44583,274220,용산구,한강진(6)
197,6,2633,44583,53540,중구,버티고개(6)
198,6,2634,44583,90573,중구,약수(6)
199,6,2635,44583,97280,중구,청구(6)
200,6,2636,44583,214462,중구,신당(6)
201,6,2637,44583,211482,종로구,동묘앞(6)
202,6,2638,44583,71440,종로구,창신(6)
203,6,2639,44583,169333,성북구,보문(6)
204,6,2640,44583,240127,성북구,안암(6)
205,6,2641,44583,185201,성북구,고려대(6)
206,6,2642,44583,285837,성북구,월곡(6)
207,6,2643,44583,140368,성북구,상월곡(6)
208,6,2644,44583,222534,성북구,돌곶이(6)
209,6,2645,44583,319028,노원구,석계(6)
210,6,2646,44583,151593,노원구,태릉입구(6)
211,6,2647,44583,228347,노원구,화랑대(6)
212,6,2648,44583,213604,중랑구,봉화산(6)
213,7,2711,44583,24687,의정부시,장암(7)
214,7,2712,44583,272831,도봉구,도봉산(7)
215,7,2713,44583,323034,노원구,수락산(7)
216,7,2714,44583,312041,노원구,마들(7)
217,7,2715,44583,531219,노원구,노원(7)
218,7,2716,44583,321010,노원구,중계(7)
219,7,2717,44583,418172,노원구,하계(7)
220,7,2718,44583,296534,노원구,공릉(7)
221,7,2719,44583,204138,노원구,태릉입구(7)
222,7,2720,44583,258366,중랑구,먹골(7)
223,7,2721,44583,270544,중랑구,중화(7)
224,7,2722,44583,415846,중랑구,상봉(7)
225,7,2723,44583,385088,중랑구,면목(7)
226,7,2724,44583,412663,중랑구,사가정(7)
227,7,2725,44583,154214,중랑구,용마산(7)
228,7,2726,44583,258588,광진구,중곡(7)
229,7,2727,44583,309574,광진구,군자(7)
230,7,2728,44583,309880,광진구,어린이대공원(7)
231,7,2729,44583,341520,광진구,건대입구(7)
232,7,2730,44583,186658,광진구,뚝섬유원지(7)
233,7,2731,44583,516752,강남구,청담(7)
234,7,2732,44583,437211,강남구,강남구청(7)
235,7,2733,44583,605100,강남구,학동(7)
236,7,2734,44583,536648,강남구,논현(7)
237,7,2735,44583,141710,서초구,반포(7)
238,7,2736,44583,351333,서초구,고속터미널(7)
239,7,2737,44583,363854,서초구,내방(7)
240,7,2738,44583,393371,동작구,이수(7)
241,7,2739,44583,261691,동작구,남성(7)
242,7,2740,44583,298333,동작구,숭실대입구(7)
243,7,2741,44583,261811,동작구,상도(7)
244,7,2742,44583,228831,동작구,장승배기(7)
245,7,2743,44583,405160,동작구,신대방삼거리(7)
246,7,2744,44583,240301,동작구,보라매(7)
247,7,2745,44583,284990,영등포구,신풍(7)
248,7,2746,44583,226286,영등포구,대림(7)
249,7,2747,44583,411168,구로구,남구로(7)
250,7,2748,44583,1047650,금천구,가산디지털단지(7)
251,7,2749,44583,546684,광명시,철산(7)
252,7,2750,44583,576190,광명시,광명사거리(7)
253,7,2751,44583,270701,구로구,천왕(7)
254,7,2752,44583,231840,구로구,온수(7)
255,8,2811,44583,433625,강동구,암사(8)
256,8,2812,44583,453026,강동구,천호(8)
257,8,2813,44583,274227,강동구,강동구청(8)
258,8,2814,44583,158033,송파구,몽촌토성(8)
259,8,2815,44583,454381,송파구,잠실(8)
260,8,2816,44583,237439,송파구,석촌(8)
261,8,2817,44583,192614,송파구,송파(8)
262,8,2818,44583,222530,송파구,가락시장(8)
263,8,2819,44583,544591,송파구,문정(8)
264,8,2820,44583,428675,송파구,장지(8)
265,8,2821,44583,202364,송파구,복정(8)
266,8,2822,44583,137519,성남시,산성(8)
267,8,2823,44583,312081,성남시,남한산성입구(8)
268,8,2824,44583,262600,성남시,단대오거리(8)
269,8,2825,44583,121922,성남시,신흥(8)
270,8,2826,44583,127612,성남시,수진(8)
271,8,2827,44583,99865,성남시,모란(8)
272,8,2828,44583,104846,성남시,남위례(8)
273,9,4126,44583,45872,강남구,언주(9)
274,9,4127,44583,40652,강남구,선정릉(9)
275,9,4128,44583,30963,강남구,삼성중앙(9)
276,9,4129,44583,74610,강남구,봉은사(9)
277,9,4130,44583,16683,송파구,종합운동장(9)
278,9,4131,44583,42627,송파구,삼전(9)
279,9,4132,44583,34831,송파구,석촌고분(9)
280,9,4133,44583,43540,송파구,석촌(9)
281,9,4134,44583,37979,송파구,송파나루(9)
282,9,4135,44583,19822,송파구,한성백제(9)
283,9,4136,44583,34406,송파구,올림픽공원(9)
284,9,4137,44583,8098,강동구,둔촌오륜(9)
285,9,4138,44583,48370,강동구,중앙보훈병원(9)
286,1,150,44614,860796,중구,서울역(1)
287,1,151,44614,440144,중구,시청(1)
288,1,152,44614,656218,종로구,종각(1)
289,1,153,44614,510518,종로구,종로3가(1)
290,1,154,44614,471706,종로구,종로5가(1)
291,1,155,44614,238236,종로구,동대문(1)
292,1,156,44614,295113,동대문구,신설동(1)
293,1,157,44614,372954,동대문구,제기동(1)
294,1,158,44614,441801,동대문구,청량리(1)
295,1,159,44614,215082,종로구,동묘앞(1)
296,2,201,44614,430487,중구,시청(2)
297,2,202,44614,777615,중구,을지로입구(2)
298,2,203,44614,429759,중구,을지로3가(2)
299,2,204,44614,255759,중구,을지로4가(2)
300,2,205,44614,301202,중구,동대문역사문화공원(2)
301,2,206,44614,320347,중구,신당(2)
302,2,207,44614,301970,성동구,상왕십리(2)
303,2,208,44614,297295,성동구,왕십리(2)
304,2,209,44614,154756,성동구,한양대(2)
305,2,210,44614,490712,성동구,뚝섬(2)
306,2,211,44614,838423,성동구,성수(2)
307,2,212,44614,851104,광진구,건대입구(2)
308,2,213,44614,514018,광진구,구의(2)
309,2,214,44614,638923,광진구,강변(2)
310,2,215,44614,285017,송파구,잠실나루(2)
311,2,216,44614,1477610,송파구,잠실(2)
312,2,217,44614,464873,송파구,잠실새내(2)
313,2,218,44614,173400,송파구,종합운동장(2)
314,2,219,44614,1059088,강남구,삼성(2)
315,2,220,44614,975950,강남구,선릉(2)
316,2,221,44614,1120207,강남구,역삼(2)
317,2,222,44614,1776051,강남구,강남(2)
318,2,223,44614,762388,서초구,교대(2)
319,2,224,44614,424874,서초구,서초(2)
320,2,225,44614,350208,서초구,방배(2)
321,2,226,44614,874715,동작구,사당(2)
322,2,227,44614,586050,관악구,낙성대(2)
323,2,228,44614,1040368,관악구,서울대입구(2)
324,2,229,44614,494273,관악구,봉천(2)
325,2,230,44614,1400344,관악구,신림(2)
326,2,231,44614,577219,동작구,신대방(2)
327,2,232,44614,1234711,구로구,구로디지털단지(2)
328,2,233,44614,543741,구로구,대림(2)
329,2,234,44614,1040056,구로구,신도림(2)
330,2,235,44614,449118,영등포구,문래(2)
331,2,236,44614,489372,영등포구,영등포구청(2)
332,2,237,44614,440238,영등포구,당산(2)
333,2,238,44614,725253,마포구,합정(2)
334,2,239,44614,1334659,마포구,홍대입구(2)
335,2,240,44614,745080,마포구,신촌(2)
336,2,241,44614,295673,마포구,이대(2)
337,2,242,44614,212103,마포구,아현(2)
338,2,243,44614,218550,서대문구,충정로(2)
339,2,244,44614,64776,성동구,용답(2)
340,2,245,44614,40695,성동구,신답(2)
341,2,246,44614,86099,동대문구,신설동(2)
342,2,247,44614,30681,구로구,도림천(2)
343,2,248,44614,154105,양천구,양천구청(2)
344,2,249,44614,229866,양천구,신정네거리(2)
345,2,250,44614,53777,동대문구,용두(2)
346,3,309,44614,93849,고양시,지축(3)
347,3,310,44614,430677,은평구,구파발(3)
348,3,311,44614,776006,은평구,연신내(3)
349,3,312,44614,390920,은평구,불광(3)
350,3,313,44614,299983,은평구,녹번(3)
351,3,314,44614,364734,서대문구,홍제(3)
352,3,315,44614,87910,서대문구,무악재(3)
353,3,316,44614,159347,서대문구,독립문(3)
354,3,317,44614,422049,종로구,경복궁(3)
355,3,318,44614,431055,종로구,안국(3)
356,3,319,44614,250303,종로구,종로3가(3)
357,3,320,44614,209178,중구,을지로3가(3)
358,3,322,44614,181003,중구,동대입구(3)
359,3,323,44614,270419,중구,약수(3)
360,3,324,44614,167206,성동구,금호(3)
361,3,325,44614,204488,성동구,옥수(3)
362,3,326,44614,744003,강남구,압구정(3)
363,3,327,44614,716252,강남구,신사(3)
364,3,328,44614,99607,서초구,잠원(3)
365,3,329,44614,930741,서초구,고속터미널(3)
366,3,330,44614,181697,서초구,교대(3)
367,3,331,44614,631554,서초구,남부터미널(3)
368,3,332,44614,846593,서초구,양재(3)
369,3,333,44614,242407,강남구,매봉(3)
370,3,334,44614,114211,강남구,도곡(3)
371,3,335,44614,250275,강남구,대치(3)
372,3,336,44614,50901,강남구,학여울(3)
373,3,337,44614,198555,강남구,대청(3)
374,3,338,44614,201849,강남구,일원(3)
375,3,339,44614,384416,강남구,수서(3)
376,3,340,44614,182340,송파구,가락시장(3)
377,3,341,44614,153691,송파구,경찰병원(3)
378,3,342,44614,119355,송파구,오금(3)
379,4,409,44614,265551,노원구,당고개(4)
380,4,410,44614,389833,노원구,상계(4)
381,4,411,44614,470285,노원구,노원(4)
382,4,412,44614,603989,도봉구,창동(4)
383,4,413,44614,594031,도봉구,쌍문(4)
384,4,414,44614,757705,강북구,수유(4)
385,4,415,44614,317296,강북구,미아(4)
386,4,416,44614,592058,강북구,미아사거리(4)
387,4,417,44614,427937,성북구,길음(4)
388,4,418,44614,430148,성북구,성신여대입구(4)
389,4,419,44614,284339,성북구,한성대입구(4)
390,4,420,44614,715934,종로구,혜화(4)
391,4,421,44614,400956,종로구,동대문(4)
392,4,422,44614,292139,중구,동대문역사문화공원(4)
393,4,423,44614,531067,중구,충무로(4)
394,4,424,44614,388747,중구,명동(4)
395,4,425,44614,498483,중구,회현(4)
396,4,426,44614,338008,용산구,서울역(4)
397,4,427,44614,267117,용산구,숙대입구(4)
398,4,428,44614,118690,용산구,삼각지(4)
399,4,429,44614,353407,용산구,신용산(4)
400,4,430,44614,183300,용산구,이촌(4)
401,4,431,44614,52087,동작구,동작(4)
402,4,432,44614,444404,동작구,이수(4)
403,4,433,44614,460391,동작구,사당(4)
404,4,434,44614,22225,서초구,남태령(4)
405,5,2511,44614,140197,강서구,방화(5)
406,5,2512,44614,119563,강서구,개화산(5)
407,5,2513,44614,182769,강서구,김포공항(5)
408,5,2514,44614,140896,강서구,송정(5)
409,5,2515,44614,221023,강서구,마곡(5)
410,5,2516,44614,440514,강서구,발산(5)
411,5,2517,44614,305561,강서구,우장산(5)
412,5,2518,44614,585694,강서구,화곡(5)
413,5,2519,44614,623687,강서구,까치산(5)
414,5,2520,44614,250824,양천구,신정(5)
415,5,2521,44614,385215,양천구,목동(5)
416,5,2522,44614,503517,양천구,오목교(5)
417,5,2523,44614,155814,영등포구,양평(5)
418,5,2524,44614,87362,영등포구,영등포구청(5)
419,5,2525,44614,232020,영등포구,영등포시장(5)
420,5,2526,44614,97421,영등포구,신길(5)
421,5,2527,44614,578047,영등포구,여의도(5)
422,5,2528,44614,218948,영등포구,여의나루(5)
423,5,2529,44614,300274,마포구,마포(5)
424,5,2530,44614,290163,마포구,공덕(5)
425,5,2531,44614,142743,마포구,애오개(5)
426,5,2532,44614,94907,서대문구,충정로(5)
427,5,2533,44614,365114,종로구,서대문(5)
428,5,2534,44614,592635,종로구,광화문(5)
429,5,2535,44614,273149,종로구,종로3가(5)
430,5,2536,44614,122185,중구,을지로4가(5)
431,5,2537,44614,65793,중구,동대문역사문화공원(5)
432,5,2538,44614,79445,중구,청구(5)
433,5,2539,44614,143337,성동구,신금호(5)
434,5,2540,44614,157635,성동구,행당(5)
435,5,2541,44614,116290,성동구,왕십리(5)
436,5,2542,44614,113136,성동구,마장(5)
437,5,2543,44614,333161,성동구,답십리(5)
438,5,2544,44614,401137,동대문구,장한평(5)
439,5,2545,44614,273182,광진구,군자(5)
440,5,2546,44614,322995,광진구,아차산(5)
441,5,2547,44614,265332,광진구,광나루(5)
442,5,2548,44614,405858,강동구,천호(5)
443,5,2549,44614,392341,강동구,강동(5)
444,5,2550,44614,186998,강동구,길동(5)
445,5,2551,44614,200707,강동구,굽은다리(5)
