추계인구ID,자치구,"성별(남자0,여자1)",연령대,이용자
EP164,노원구,0,30대,23668
EP165,노원구,0,40대,31672
EP166,노원구,0,50대,31010
EP167,노원구,0,60대,33668
EP168,노원구,0,70세 이상,47151
EP169,노원구,1,9세 이하,13082
EP170,노원구,1,10대,12621
EP171,노원구,1,20대,21197
EP172,노원구,1,30대,25033
EP173,노원구,1,40대,32346
EP174,노원구,1,50대,32390
EP175,노원구,1,60대,38853
EP176,노원구,1,70세 이상,63963
EP177,은평구,0,9세 이하,13392
EP178,은평구,0,10대,10809
EP179,은평구,0,20대,17799
EP180,은평구,0,30대,25002
EP181,은평구,0,40대,31034
EP182,은평구,0,50대,31098
EP183,은평구,0,60대,34313
EP184,은평구,0,70세 이상,45079
EP185,은평구,1,9세 이하,12826
EP186,은평구,1,10대,10322
EP187,은평구,1,20대,19980
EP188,은평구,1,30대,27370
EP189,은평구,1,40대,31982
EP190,은평구,1,50대,33911
EP191,은평구,1,60대,39030
EP192,은평구,1,70세 이상,59688
EP193,서대문구,0,9세 이하,9354
EP194,서대문구,0,10대,7447
EP195,서대문구,0,20대,14459
EP196,서대문구,0,30대,16692
EP197,서대문구,0,40대,20171
EP198,서대문구,0,50대,19978
EP199,서대문구,0,60대,21133
EP200,서대문구,0,70세 이상,27564
EP201,서대문구,1,9세 이하,8659
EP202,서대문구,1,10대,7466
EP203,서대문구,1,20대,18116
EP204,서대문구,1,30대,18797
EP205,서대문구,1,40대,21253
EP206,서대문구,1,50대,21667
EP207,서대문구,1,60대,23427
EP208,서대문구,1,70세 이상,37278
EP209,마포구,0,9세 이하,12294
EP210,마포구,0,10대,8590
EP211,마포구,0,20대,16690
EP212,마포구,0,30대,23629
EP213,마포구,0,40대,25801
EP214,마포구,0,50대,22800
EP215,마포구,0,60대,21483
EP216,마포구,0,70세 이상,25925
EP217,마포구,1,9세 이하,11557
EP218,마포구,1,10대,8499
EP219,마포구,1,20대,21793
EP220,마포구,1,30대,28500
EP221,마포구,1,40대,28043
EP222,마포구,1,50대,24862
EP223,마포구,1,60대,24331
EP224,마포구,1,70세 이상,35569
EP225,양천구,0,9세 이하,13369
EP226,양천구,0,10대,14730
EP227,양천구,0,20대,17024
EP228,양천구,0,30대,20934
EP229,양천구,0,40대,31387
EP230,양천구,0,50대,30016
EP231,양천구,0,60대,29424
EP232,양천구,0,70세 이상,38099
EP233,양천구,1,9세 이하,12773
EP234,양천구,1,10대,13717
EP235,양천구,1,20대,17713
EP236,양천구,1,30대,23230
EP237,양천구,1,40대,32786
EP238,양천구,1,50대,30331
EP239,양천구,1,60대,31907
EP240,양천구,1,70세 이상,48210
EP241,강서구,0,9세 이하,21442
EP242,강서구,0,10대,15354
EP243,강서구,0,20대,24434
EP244,강서구,0,30대,40427
EP245,강서구,0,40대,45564
EP246,강서구,0,50대,40900
EP247,강서구,0,60대,43134
EP248,강서구,0,70세 이상,56226
EP249,강서구,1,9세 이하,20188
EP250,강서구,1,10대,14724
EP251,강서구,1,20대,29635
EP252,강서구,1,30대,43282
EP253,강서구,1,40대,44764
EP254,강서구,1,50대,43302
EP255,강서구,1,60대,48179
EP256,강서구,1,70세 이상,72104
EP257,구로구,0,9세 이하,12319
EP258,구로구,0,10대,8301
EP259,구로구,0,20대,15613
EP260,구로구,0,30대,24192
EP261,구로구,0,40대,27122
EP262,구로구,0,50대,27879
EP263,구로구,0,60대,32349
EP264,구로구,0,70세 이상,44280
EP265,구로구,1,9세 이하,11744
EP266,구로구,1,10대,7975
EP267,구로구,1,20대,17636
EP268,구로구,1,30대,24496
EP269,구로구,1,40대,24961
EP270,구로구,1,50대,28012
EP271,구로구,1,60대,33701
EP272,구로구,1,70세 이상,53359
EP273,금천구,0,9세 이하,6208
EP274,금천구,0,10대,4477
EP275,금천구,0,20대,9894
EP276,금천구,0,30대,14951
EP277,금천구,0,40대,16392
EP278,금천구,0,50대,17529
EP279,금천구,0,60대,20288
EP280,금천구,0,70세 이상,25707
EP281,금천구,1,9세 이하,5851
EP282,금천구,1,10대,4326
EP283,금천구,1,20대,10253
EP284,금천구,1,30대,13322
EP285,금천구,1,40대,13848
EP286,금천구,1,50대,16237
EP287,금천구,1,60대,19908
EP288,금천구,1,70세 이상,31449
EP289,영등포구,0,9세 이하,11335
EP290,영등포구,0,10대,7094
EP291,영등포구,0,20대,14991
EP292,영등포구,0,30대,25523
EP293,영등포구,0,40대,25891
EP294,영등포구,0,50대,24672
EP295,영등포구,0,60대,26507
EP296,영등포구,0,70세 이상,33270
EP297,영등포구,1,9세 이하,10693
EP298,영등포구,1,10대,6343
EP299,영등포구,1,20대,17805
EP300,영등포구,1,30대,25838
EP301,영등포구,1,40대,23534
EP302,영등포구,1,50대,23243
EP303,영등포구,1,60대,25867
EP304,영등포구,1,70세 이상,41042
EP305,동작구,0,9세 이하,11221
EP306,동작구,0,10대,8070
