RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11305T10,17811.5408,23081.2852,39790.5438,36430.2961,41674.6968,43991.4946,33145.6951,40664.8384
R11320T10,17886.6882,22980.7584,32448.9142,35050.0133,38873.3604,41307.4216,34834.3722,38803.3234
R11350T10,34476.2307,59788.3284,66791.2287,61601.2306,76087.3082,72245.8314,53128.2306,58541.1362
R11380T10,29466.8344,38237.2171,55014.6579,64067.0429,67781.2587,61343.0714,46504.4326,51689.2712
R11410T10,19843.4224,29696.3695,69634.5775,54492.2208,52208.2551,47488.6343,31790.2193,36062.1247
R11440T10,25880.9909,36888.6865,85709.6971,82039.4317,72656.7195,55735.5868,35833.4483,36348.8709
R11470T10,30452.6901,48889.3312,41984.0527,50477.8794,62333.8978,51634.8209,36122.4077,36602.28
R11500T10,40616.2714,42256.75,74420.6114,98971.0548,87514.1308,70475.5629,54707.2026,55347.977
R11530T10,27372.9799,28180.7354,49022.6922,64217.3562,61831.8606,53546.3527,40347.8274,39136.4041
R11545T10,11106.9628,12340.5527,30197.1457,37333.274,31741.8494,31230.7077,22464.531,19302.3078
R11560T10,26589.7877,27764.7942,68344.9011,87684.8099,73387.0863,64350.9755,45689.6205,41064.9804
R11590T10,25157.769,31865.3096,74296.108,61790.5439,56519.5432,48641.5415,36076.126,40367.4158
R11620T10,21741.9297,29511.044,106572.8919,86653.7183,65495.7202,55412.5511,41663.4034,44789.0578
R11650T10,43037.5319,54269.0152,76998.6394,93376.95,102852.2003,81020.9181,53333.2267,49052.6626
R11680T10,51536.805,87805.2612,114963.1286,140242.6766,143444.2332,105260.7855,67620.0457,61298.0827
R11710T10,62399.3763,71249.9411,95045.7559,125980.135,123104.8506,100052.4093,74031.5527,67028.6208
R11740T10,38983.9568,48477.4966,57344.7341,75147.597,82089.3446,70265.7085,56133.208,55231.5586
R11110T11,13090.7525,26455.5406,52761.2773,43508.4295,48809.6005,50763.968,36807.6382,36845.5538
R11140T11,13307.4485,13586.975,42738.2925,47405.4934,44678.0982,42316.6056,31613.1688,29090.5089
R11170T11,15845.1072,21894.6874,48447.1068,57438.5419,50197.1398,40880.958,27480.2939,27088.2315
R11200T11,21750.5129,25279.7945,59982.0321,59197.6313,53511.0763,45580.3839,32581.1109,31230.4024
R11215T11,22998.179,33720.1369,68575.7529,59965.9861,55406.7844,49675.9378,34197.5991,31849.1236
R11230T11,19112.1349,27218.097,69970.3888,48788.7227,50285.4343,48016.1444,37346.0549,42833.5401
R11260T11,23535.8793,26234.2211,44945.4733,51483.5091,50581.7727,52525.0174,40366.6882,41324.8613
R11290T11,29820.2666,42747.5105,71273.1376,55441.0907,61816.443,56823.6534,39269.9155,43792.6613
R11305T11,17769.6395,22980.0914,38667.881,35871.8723,41140.7185,43313.7818,32967.9081,39940.9073
R11320T11,17607.3596,22575.897,31915.6588,33883.257,38644.8776,40815.363,34529.0462,38939.6895
R11350T11,34652.3704,58717.005,65648.463,60464.693,74521.5803,70424.5167,51659.4768,57611.2503
R11380T11,28987.8561,37597.8981,53152.3596,61612.3194,66155.1794,59796.2255,45656.3398,50762.7025
R11410T11,19808.8159,29923.9181,69203.8443,53800.271,51809.7446,47113.0273,31421.5515,35510.3638
