RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11590T2,25966.8858,31616.8023,74802.3632,66558.6056,60463.7719,54238.4106,40485.6047,42775.5988
R11620T2,22552.8381,31104.9656,121159.4803,97202.1739,71002.3024,62416.4691,45963.7454,48140.4234
R11650T2,40679.5937,49443.3424,56802.3631,72698.3772,89597.5521,66028.161,42236.179,42979.5865
R11680T2,50024.6422,75050.496,86980.2112,110773.6136,128527.7352,90548.7841,55719.6989,57023.9726
R11710T2,60055.1713,69032.4838,88991.1347,125494.4635,124949.4227,104841.3507,76917.2989,67990.1458
R11740T2,40781.2613,51072.6298,61350.5026,82550.0809,89993.1371,78238.7793,62665.3926,58862.5547
R11110T3,9437.817,16635.8504,39020.4073,29743.888,31917.262,32467.2908,22165.4526,23216.9971
R11140T3,7982.6646,9245.1188,28039.8589,30422.0449,27423.7971,23414.1002,16409.7426,16262.9663
R11170T3,14511.0373,17595.4292,38033.3082,50746.6516,43949.1159,36374.297,24833.6415,24815.162
R11200T3,21510.1786,23495.5293,53221.0434,57670.8658,52402.0725,45544.4969,32733.0429,31249.2349
R11215T3,21428.5468,30956.7831,73312.5838,62100.1432,55179.5139,51500.8156,35766.2198,32239.2706
R11230T3,20141.3712,27905.1603,75061.7046,52711.3605,50735.9239,47036.8887,36107.2766,39072.5028
R11260T3,24509.4498,27527.2248,50855.5722,60396.3064,56856.2728,60221.9713,46370.927,45112.7679
R11290T3,31450.3492,44805.4181,75679.0306,60977.4632,67888.4225,63254.9565,44403.1494,48427.6649
R11305T3,18225.6031,24626.5646,44754.1335,40483.633,45793.9328,48689.0128,37791.1604,44069.3283
R11320T3,18668.6158,24575.3417,35012.1765,38236.6143,42123.9577,45790.237,38045.5426,39564.731
R11350T3,35733.4196,59227.6379,69808.8222,66081.9994,81471.7773,80719.1144,59744.9588,62180.9304
R11380T3,31268.8731,41010.1277,60516.9779,72614.7103,75898.9146,70257.7361,52467.5034,55644.3561
R11410T3,20643.7055,29455.3957,68838.4669,54027.6224,53209.5718,49812.0109,34155.929,36929.0149
R11440T3,24459.6779,33192.1015,84928.0255,78817.4607,70646.0591,53413.7407,34421.4562,35631.1737
R11470T3,30485.7827,49074.6647,42930.1243,51717.9535,67532.737,58401.0302,40261.3137,38702.2547
R11500T3,41610.6936,43595.2784,77386.5765,103973.823,90635.3844,72810.4582,58774.9428,58602.1675
R11530T3,28644.1553,29053.6909,49535.3456,67339.3925,65864.7556,58569.0518,44179.0513,40692.5576
R11545T3,10742.9173,12285.98,31936.794,39028.7956,31503.7354,31627.2522,23269.0235,19855.5225
R11560T3,26077.12,26592.4906,61469.8391,83697.7737,69058.1269,60266.9465,42357.2873,38398.1715
R11590T3,26010.8266,31645.9107,75130.3769,66727.7379,60661.173,54418.5112,40531.1851,42741.9417
R11620T3,22518.2897,31065.772,121358.2469,97265.0305,71014.216,62275.0912,45934.3572,48104.7834
R11650T3,40617.9349,49363.826,56232.3937,72287.4455,89057.6734,65930.2377,41987.5161,42887.0873
R11680T3,50025.9098,75078.8885,85290.9184,109357.3713,127696.8231,90128.9076,55597.8882,56916.4098
R11710T3,60043.6363,68989.7162,88943.9492,125487.2693,124849.4596,105015.1914,76983.585,67925.2368
R11740T3,40803.7052,51093.1409,61655.4527,82777.6808,90020.0137,78219.8757,62602.0735,58923.1353
R11110T4,9461.3901,16584.2573,38702.737,29319.7017,31788.9513,32445.2035,22371.0002,23369.1671
R11140T4,7963.9489,9290.2741,28034.6017,30296.377,27410.4222,23598.9387,16835.9065,16620.3181
R11170T4,14596.6812,17781.8806,38152.456,51039.6239,44226.6856,36614.0622,25017.6411,24893.4882
R11200T4,21510.4238,23379.9579,53269.9653,57626.6711,52336.4178,45628.7898,32893.003,31430.4782
R11215T4,21432.768,31031.2732,73005.7891,62193.446,55252.0164,51698.6236,35771.9614,32105.5751
R11230T4,20125.2912,27886.0406,75186.2053,52848.3931,50812.335,47205.3859,36188.8622,39139.637
R11260T4,24567.7483,27497.2174,50986.6311,60515.1598,56834.0177,60194.3166,46115.3333,44970.1909
R11290T4,31446.7635,44915.1046,75993.3622,61305.0797,68131.3479,63358.7433,44383.4743,48435.9922
R11305T4,18160.9108,24583.7099,44586.6549,40344.8716,45570.9089,48466.2898,37470.4501,43726.5421
R11320T4,18591.684,24509.4127,35267.979,38268.3148,42031.128,45590.4605,37962.4119,39421.6377
R11350T4,35790.2882,59292.0878,69804.2936,66098.8469,81313.871,80650.2832,59467.346,62311.4766
R11380T4,31205.0537,41042.3936,60692.6648,72556.4398,75785.3013,70041.5375,52007.9144,55301.3366
R11410T4,20718.1676,29435.4176,68941.0309,54226.1864,53274.7463,49837.8094,34136.7541,36895.7678
R11440T4,24418.9821,33153.0104,83626.3396,78484.9727,70438.9825,53376.4102,34444.4646,35597.2718
R11470T4,30358.9402,48938.8253,42968.2206,51649.5961,67352.2658,58190.9737,40147.9776,38506.2465
R11500T4,41756.9278,43610.6992,77648.9729,104195.131,90729.5591,73075.6649,58708.8304,58503.8363
