자치구코드,"성별(남자0,여자1)",연령코드,인원수
111191,0,AGE_006,21133
111191,0,AGE_007,27564
111191,1,AGE_000,8659
111191,1,AGE_001,7466
111191,1,AGE_002,18116
111191,1,AGE_003,18797
111191,1,AGE_004,21253
111191,1,AGE_005,21667
111191,1,AGE_006,23427
111191,1,AGE_007,37278
111201,0,AGE_000,12294
111201,0,AGE_001,8590
111201,0,AGE_002,16690
111201,0,AGE_003,23629
111201,0,AGE_004,25801
111201,0,AGE_005,22800
111201,0,AGE_006,21483
111201,0,AGE_007,25925
111201,1,AGE_000,11557
111201,1,AGE_001,8499
111201,1,AGE_002,21793
111201,1,AGE_003,28500
111201,1,AGE_004,28043
111201,1,AGE_005,24862
111201,1,AGE_006,24331
111201,1,AGE_007,35569
111301,0,AGE_000,13369
111301,0,AGE_001,14730
111301,0,AGE_002,17024
111301,0,AGE_003,20934
111301,0,AGE_004,31387
111301,0,AGE_005,30016
111301,0,AGE_006,29424
111301,0,AGE_007,38099
111301,1,AGE_000,12773
111301,1,AGE_001,13717
111301,1,AGE_002,17713
111301,1,AGE_003,23230
111301,1,AGE_004,32786
111301,1,AGE_005,30331
111301,1,AGE_006,31907
111301,1,AGE_007,48210
111212,0,AGE_000,21442
111212,0,AGE_001,15354
111212,0,AGE_002,24434
111212,0,AGE_003,40427
111212,0,AGE_004,45564
111212,0,AGE_005,40900
111212,0,AGE_006,43134
111212,0,AGE_007,56226
111212,1,AGE_000,20188
111212,1,AGE_001,14724
111212,1,AGE_002,29635
111212,1,AGE_003,43282
111212,1,AGE_004,44764
111212,1,AGE_005,43302
111212,1,AGE_006,48179
111212,1,AGE_007,72104
111221,0,AGE_000,12319
111221,0,AGE_001,8301
111221,0,AGE_002,15613
111221,0,AGE_003,24192
111221,0,AGE_004,27122
111221,0,AGE_005,27879
111221,0,AGE_006,32349
111221,0,AGE_007,44280
111221,1,AGE_000,11744
111221,1,AGE_001,7975
111221,1,AGE_002,17636
111221,1,AGE_003,24496
111221,1,AGE_004,24961
111221,1,AGE_005,28012
111221,1,AGE_006,33701
111221,1,AGE_007,53359
111281,0,AGE_000,6208
111281,0,AGE_001,4477
111281,0,AGE_002,9894
111281,0,AGE_003,14951
111281,0,AGE_004,16392
111281,0,AGE_005,17529
111281,0,AGE_006,20288
111281,0,AGE_007,25707
111281,1,AGE_000,5851
111281,1,AGE_001,4326
111281,1,AGE_002,10253
111281,1,AGE_003,13322
111281,1,AGE_004,13848
111281,1,AGE_005,16237
111281,1,AGE_006,19908
111281,1,AGE_007,31449
111231,0,AGE_000,11335
111231,0,AGE_001,7094
111231,0,AGE_002,14991
111231,0,AGE_003,25523
111231,0,AGE_004,25891
111231,0,AGE_005,24672
111231,0,AGE_006,26507
111231,0,AGE_007,33270
111231,1,AGE_000,10693
111231,1,AGE_001,6343
111231,1,AGE_002,17805
111231,1,AGE_003,25838
111231,1,AGE_004,23534
111231,1,AGE_005,23243
111231,1,AGE_006,25867
111231,1,AGE_007,41042
111241,0,AGE_000,11221
111241,0,AGE_001,8070
111241,0,AGE_002,19392
111241,0,AGE_003,24021
111241,0,AGE_004,25313
111241,0,AGE_005,24456
111241,0,AGE_006,26418
111241,0,AGE_007,34847
111241,1,AGE_000,10824
111241,1,AGE_001,7872
111241,1,AGE_002,22272
111241,1,AGE_003,25421
111241,1,AGE_004,25259
111241,1,AGE_005,26230
111241,1,AGE_006,29004
111241,1,AGE_007,45826
111251,0,AGE_000,11637
111251,0,AGE_001,7901
111251,0,AGE_002,30443
111251,0,AGE_003,37414
111251,0,AGE_004,32720
111251,0,AGE_005,29897
111251,0,AGE_006,32667
111251,0,AGE_007,42233
111251,1,AGE_000,10837
111251,1,AGE_001,7497
111251,1,AGE_002,34782
111251,1,AGE_003,33980
111251,1,AGE_004,28149
111251,1,AGE_005,28870
111251,1,AGE_006,33783
111251,1,AGE_007,53218
111262,0,AGE_000,14782
111262,0,AGE_001,13547
111262,0,AGE_002,17040
111262,0,AGE_003,22333
111262,0,AGE_004,30752
111262,0,AGE_005,27124
111262,0,AGE_006,25230
111262,0,AGE_007,33335
111262,1,AGE_000,13650
111262,1,AGE_001,12741
111262,1,AGE_002,19796
111262,1,AGE_003,27682
111262,1,AGE_004,33832
111262,1,AGE_005,29212
111262,1,AGE_006,28463
111262,1,AGE_007,39508
111261,0,AGE_000,15371
111261,0,AGE_001,18745
111261,0,AGE_002,22106
111261,0,AGE_003,28014
111261,0,AGE_004,38206
111261,0,AGE_005,34211
111261,0,AGE_006,30223
111261,0,AGE_007,41015
111261,1,AGE_000,14013
111261,1,AGE_001,16778
111261,1,AGE_002,26340
111261,1,AGE_003,34527
111261,1,AGE_004,43341
111261,1,AGE_005,35253
111261,1,AGE_006,33662
111261,1,AGE_007,48581
111273,0,AGE_000,22512
111273,0,AGE_001,18101
111273,0,AGE_002,26931
111273,0,AGE_003,38782
111273,0,AGE_004,46640
111273,0,AGE_005,43671
111273,0,AGE_006,45539
111273,0,AGE_007,57118
111273,1,AGE_000,21050
111273,1,AGE_001,17400
111273,1,AGE_002,30757
111273,1,AGE_003,44858
111273,1,AGE_004,49790
111273,1,AGE_005,48024
111273,1,AGE_006,50109
111273,1,AGE_007,67030
111274,0,AGE_000,11360
111274,0,AGE_001,9660
111274,0,AGE_002,14535
111274,0,AGE_003,20961
111274,0,AGE_004,26030
111274,0,AGE_005,25111
111274,0,AGE_006,26606
111274,0,AGE_007,35523
111274,1,AGE_000,10532
111274,1,AGE_001,8432
111274,1,AGE_002,15594
111274,1,AGE_003,22297
111274,1,AGE_004,25276
111274,1,AGE_005,25312
111274,1,AGE_006,28256
111274,1,AGE_007,43441
