연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
157,5,2548,천호(5),Jan-22,479514
158,5,2549,강동,Jan-22,453658
159,5,2550,길동,Jan-22,220002
160,5,2551,굽은다리,Jan-22,236168
161,5,2552,명일,Jan-22,228358
162,5,2553,고덕,Jan-22,236401
163,5,2554,상일동,Jan-22,358965
164,5,2555,둔촌동,Jan-22,223167
165,5,2556,올림픽공원(5),Jan-22,92674
166,5,2557,방이,Jan-22,190890
167,5,2558,오금(5),Jan-22,90348
168,5,2559,개롱,Jan-22,168210
169,5,2560,거여,Jan-22,220320
170,5,2561,마천,Jan-22,175071
171,5,2562,강일,Jan-22,97714
172,5,2563,미사,Jan-22,413435
173,5,2564,하남풍산,Jan-22,108695
174,5,2565,하남시청,Jan-22,165135
175,5,2566,하남검단산,Jan-22,149121
176,6,2611,응암,Jan-22,449325
177,6,2612,역촌,Jan-22,114780
178,6,2613,불광(6),Jan-22,109201
179,6,2614,독바위,Jan-22,75841
180,6,2616,구산,Jan-22,146016
181,6,2617,새절,Jan-22,301603
182,6,2618,증산,Jan-22,259603
183,6,2619,디지털미디어시티(6),Jan-22,363111
184,6,2620,월드컵경기장,Jan-22,110714
185,6,2621,마포구청,Jan-22,330193
186,6,2622,망원,Jan-22,415890
187,6,2623,합정(6),Jan-22,336297
188,6,2624,상수,Jan-22,253595
189,6,2625,광흥창,Jan-22,216780
190,6,2626,대흥,Jan-22,203063
191,6,2627,공덕(6),Jan-22,425653
192,6,2628,효창공원앞,Jan-22,157622
193,6,2629,삼각지(6),Jan-22,141142
194,6,2630,녹사평,Jan-22,126877
195,6,2631,이태원,Jan-22,279597
196,6,2632,한강진,Jan-22,274220
197,6,2633,버티고개,Jan-22,53540
198,6,2634,약수(6),Jan-22,90573
199,6,2635,청구(6),Jan-22,97280
200,6,2636,신당(6),Jan-22,214462
201,6,2637,동묘앞(6),Jan-22,211482
202,6,2638,창신,Jan-22,71440
203,6,2639,보문,Jan-22,169333
204,6,2640,안암,Jan-22,240127
205,6,2641,고려대,Jan-22,185201
206,6,2642,월곡,Jan-22,285837
207,6,2643,상월곡,Jan-22,140368
208,6,2644,돌곶이,Jan-22,222534
209,6,2645,석계(6),Jan-22,319028
210,6,2646,태릉입구(6),Jan-22,151593
211,6,2647,화랑대,Jan-22,228347
212,6,2648,봉화산,Jan-22,213604
213,7,2711,장암,Jan-22,24687
