기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20221119,0,11440,427147.7325,12470.0075,6329.9358,10771.8079,18427.4304,21229.5943,18294.1314,20774.7598,17630.3454,18428.2241,14306.6829,12248.2158,9186.504,6514.9057,13173.2564,11954.621,5909.9814,10748.7004,26248.775,24839.1401,20850.3588,21837.9658,17250.3254,18685.6532,14270.763,13273.8363,10565.1331,8245.5641,22681.1133
20221119,0,11470,377483.5453,16099.0092,11419.6817,14921.0978,9147.6237,10700.8422,10769.3585,13764.7252,14050.558,18075.9487,14458.9702,13796.6475,10110.2461,7836.5615,15039.4456,14686.5007,10086.5448,12884.67,10597.326,11603.6514,11823.7687,14915.3738,16190.729,18665.956,15012.1084,14839.6319,12567.9325,9705.6144,23713.0174
20221119,0,11500,544158.9106,21445.4568,9797.3732,12385.3584,12741.5533,21211.1182,23599.7639,27138.9214,23306.4395,23660.277,17459.937,17425.0113,15028.7506,11076.393,22481.3132,19885.6173,9000.4886,12169.1528,17074.3642,25118.0705,25606.4324,26804.795,21712.1362,21913.7833,17794.3599,19858.6139,18042.475,14476.4056,35944.5537
20221119,0,11530,383346.3023,13976.6463,6248.8722,8429.8417,8767.1283,13938.3916,15161.6146,18679.9745,16527.8049,17992.2536,14194.3123,14870.9145,11687.4678,8514.9789,16241.4707,14724.0603,6376.5174,7943.8432,11725.303,14785.7159,15517.5494,17902.1476,14841.0265,16372.3709,13943.4307,15472.6037,13719.5742,10374.8687,24415.6149
20221119,0,11545,199202.7028,5731.529,2661.1889,3413.3637,5272.9202,9936.0409,10350.842,10662.3433,8750.7738,8877.5278,7907.9233,8370.5271,6455.5,4565.026,8003.5736,4990.353,2518.615,3589.908,6181.6138,9824.8167,8837.6439,8789.0265,6779.7709,7285.1425,7141.5993,8336.4219,7011.9902,5180.4327,11776.2913
20221119,0,11560,411854.6793,12731.3669,5688.6822,7898.8752,10651.9921,17772.5991,20541.5913,22232.459,18754.7094,18712.2248,15596.3873,16150.0182,11464.8779,8579.7606,15897.0427,13219.6308,5560.1737,7266.2245,14376.3192,19946.4622,20656.7389,21570.9837,16289.0349,16110.2786,13642.5895,15518.6199,12763.3469,9691.2764,22570.4137
20221119,0,11590,395591.5479,13215.9069,6137.5756,10038.4861,15779.7857,19728.6721,16148.6765,16815.3132,14779.6085,15840.2881,13758.9819,12479.8926,9680.4658,7737.0163,16396.8883,12636.6459,5811.2385,9617.6859,19829.9437,18956.2345,15823.1919,17559.4067,14209.4589,15284.3133,13428.684,14455.745,12932.9713,10209.6331,26298.8389
20221119,0,11620,495772.2925,11570.0416,5634.669,10151.2129,21670.311,36092.4992,28497.4538,24115.9899,18739.7294,19516.3226,15785.2228,15338.2486,11583.0106,8537.0548,18921.1452,10991.5238,5271.9623,10013.9825,27191.808,34513.9001,23697.3447,19874.4979,15717.6411,16628.1791,14850.6315,16079.1159,14021.0173,11632.725,29135.0488
20221119,0,11650,467171.3228,20640.4105,11231.5414,14054.1942,12651.8815,15545.5953,15802.6664,19951.1632,20769.7085,25057.7985,19093.2201,15651.8366,10970.063,8447.901,16938.9989,20034.609,10870.7551,13604.2911,14566.5827,16126.9325,16992.1859,21856.2918,21724.6093,23113.3872,16796.4564,15474.6803,12434.5689,10566.997,26201.9979
20221119,0,11680,666005.3851,25844.7331,16855.2838,22770.0433,17904.6469,23552.5674,25112.5692,31503.6175,31811.8852,35476.1784,27096.6124,21237.6407,14493.1727,11212.6241,22342.3733,23588.4953,14818.3836,20474.6168,22647.4702,27084.0289,26402.3566,32073.056,30836.2694,33306.755,22620.2633,20456.6534,16219.5905,14033.8628,34229.6316
20221119,0,11710,725772.1118,31754.2761,15875.253,19808.8718,17482.4291,23898.8935,26819.7855,33154.9903,31049.8676,31919.7303,25557.8087,25110.8518,19618.3716,14770.2772,27583.3038,28935.4416,14878.1989,19044.2658,21361.832,27224.5995,30280.1663,36121.445,31617.1454,31630.7803,26873.006,28523.9321,24240.7694,19331.7294,41304.0956
20221119,0,11740,522092.6572,21536.8221,12172.4659,15061.0904,12278.918,15792.904,16921.5858,22247.5701,21587.123,22526.4377,18324.6595,18538.2967,15580.1191,11622.5746,23125.0459,19493.2793,10732.4928,13207.0552,14697.653,17643.9704,19021.1177,23554.1077,22621.7042,22424.5067,19355.4097,21372.1953,19744.4617,15476.864,35432.2313
20221119,1,11110,208282.268,4739.9397,2840.593,5332.2097,9109.142,9395.4148,7604.084,8122.8495,7503.9068,8658.342,8429.1168,8192.3479,6039.9032,4596.8341,8972.3162,4783.6025,2859.5205,5748.7614,12399.6211,9423.6396,7225.5818,7828.109,7408.3761,8791.8824,7863.7034,8300.6587,6589.3135,5164.8659,14357.6325
20221119,1,11140,163578.4323,4309.1567,1745.042,2748.3811,5923.2865,7139.0331,7069.6001,8975.6401,7653.444,7681.3807,6820.9963,6196.7242,4687.121,3460.1201,6572.4268,3831.0776,1658.0716,3237.1539,8039.6845,7896.6518,7464.4932,8124.336,6465.6686,6430.5687,5380.4471,5627.6901,4902.0073,3544.7025,9993.523
20221119,1,11170,252494.8279,7469.924,3657.9585,5080.8031,7720.904,9825.5019,11335.9769,13528.1789,11491.1935,11210.9082,9771.0825,8475.1883,6579.7851,4958.1298,9205.2812,7147.2445,3442.2268,5488.4063,9206.1447,11789.2871,12339.568,13980.7264,10593.0686,10977.5665,9225.0757,8912.1544,7596.0173,5803.0056,15683.5198
20221119,1,11200,316577.202,10857.5286,4460.724,6797.0777,11629.9718,13307.9468,11906.2679,15462.5634,13457.4388,13422.4234,10835.9161,11267.7506,8988.2679,6075.0275,11662.7495,10459.2654,4552.4366,7485.5941,14372.2214,13787.3773,13185.8839,16919.9165,12722.37,12621.6931,11404.2057,11817.8101,10032.1333,7634.2593,19450.3886
20221119,1,11215,363344.6376,10749.6167,5744.6233,9648.5147,15558.7475,17815.4879,14790.8383,15379.3481,12923.557,14033.6597,12346.6571,12462.898,9347.7364,6599.0706,12737.4166,10683.8104,5913.5862,9922.9936,20458.3972,19946.7232,15832.4584,16078.3593,13606.4875,14429.433,12896.9782,14031.2204,11460.5829,8505.6971,19439.7351
20221119,1,11230,348478.8161,10225.4153,5064.4779,8240.8509,16732.6139,15934.5654,11872.2767,14421.3537,12795.03,13701.8533,11818.6571,11969.3911,9517.1989,7152.8107,15153.7909,9866.9873,4872.2534,9623.075,25620.4386,16479.5912,12323.237,14107.576,11920.232,12341.8085,11326.1173,11967.7868,10620.3464,8881.2911,23927.7926
20221119,1,11260,370367.5848,12660.0832,6112.8737,8039.387,9924.6777,13355.7396,13759.4103,15957.9326,14086.9431,14714.7711,13501.9137,15078.8661,12004.2197,8804.0885,17752.9041,11873.4219,5682.3346,7688.5321,11896.5239,15040.8459,14292.351,16039.3355,13259.231,14390.1267,14511.8447,17046.99,14538.3967,10863.4162,27490.422
20221119,1,11290,435278.4735,16582.0498,9292.7196,13180.4252,17567.0447,16185.5339,13020.4911,16170.299,14925.2646,17256.2286,15903.3025,14136.2727,11161.8072,8538.2192,17964.4484,14763.7064,8129.3842,14022.7825,24311.0009,16813.9372,14087.1953,17284.8917,16285.2711,19158.0026,16694.2971,16492.7556,13711.0496,11047.5841,30592.5086
