객체id,현황도형 관리번호,도형 대분류코드,도형 중분류코드,도형 소분류코드,도형 속성코드,도형 조서관리 코드,결정고시관리코드,라벨명,시군구코드,도면번호,현황도형 생성일시,면적(도형),길이(도형)
173608,11000UQ111PS201912150762,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,14.00487322,18.32778043
173609,11000UQ111PS201912150764,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,7476.237479,570.6435
173610,11000UQ111PS201912150765,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,1889.365023,398.3439602
173611,11000UQ111PS201912150767,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,91676.60578,1741.492824
173612,11000UQ111PS201912150773,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,638.9953393,196.7267857
173613,11000UQ111PS201912150672,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,40442.86803,1013.195116
173614,11000UQ111PS201912151891,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,47061.52174,2044.39048
173615,11000UQ111PS201912152006,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,55837.54749,1388.896885
173616,11000UQ111PS201912150888,UQA100,UQA120,UQA124,UQA124,11000ARZ201111084395,11000NTC201110276285,제2종일반주거지역(7층),11000, ,00:00.0,80304.05732,1424.117135
173617,11000UQ111PS201912150889,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,109250.2146,1718.746478
173618,11000UQ111PS201912150914,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,68018.38154,1306.496871
173619,11000UQ111PS201912150918,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,16725.61955,526.181458
173620,11000UQ111PS201912150865,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,1450.599778,169.00099
173621,11000UQ111PS201912150867,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,0.00678612,8.91308896
173622,11000UQ111PS201912150947,UQA100,UQA120,UQA124,UQA124,11000ARZ201306244511,11000NTC201304256817,제2종일반주거지역(7층),11000, ,00:00.0,103712.4444,2995.448019
173623,11000UQ111PS201912153780,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,14546.58639,529.5796364
173624,11000UQ111PS201912153781,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,7969.812675,397.4007476
173625,11000UQ111PS201912153453,UQA100,UQA120,UQA122,UQA122,11000ARZ201809100106,11000NTC201804240001,제2종일반주거지역,11000, ,00:00.0,36922.98555,1475.624148
173626,11000UQ111PS201912153455,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,5711.076738,325.5715517
173627,11000UQ111PS201912152885,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,2291.5735,325.7176024
173628,11000UQ111PS201912152890,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,1263.322315,623.3346615
173629,11000UQ111PS201912153214,UQA100,UQA120,UQA122,UQA122,11000ARZ201512213140,11000NTC201505217486,제2종일반주거지역,11000, ,00:00.0,7516.855387,1077.13281
173630,11000UQ111PS201912153215,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,28010.0942,1052.937838
173631,11000UQ111PS201912153217,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,3767.283939,281.0339944
173632,11000UQ111PS201912153195,UQA100,UQA120,UQA122,UQA122,11000ARZ200911102465,11000NTC200610090420,제2종일반주거지역,11000, ,00:00.0,50861.19596,1514.467867
173633,11000UQ111PS201912153515,UQA100,UQA120,UQA122,UQA122,11000ARZ201511203106,11000NTC201501237394,제2종일반주거지역(12층),11000, ,00:00.0,100608.5652,1622.608424
173634,11000UQ111PS201912152641,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,132488.0805,2748.575099
173635,11000UQ111PS201912152643,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,66202.62765,1516.84942
173636,11000UQ111PS201912153936,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,4283.17263,360.3745906
173637,11000UQ111PS201912153807,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,10490.65684,518.4813225
173638,11000UQ111PS201912153077,UQA100,UQA120,UQA122,UQA122,11000ARZ201203052761,11000NTC201202166412,제2종일반주거지역,11000, ,00:00.0,35.24590243,39.65435022
173639,11000UQ111PS201912153078,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,93715.79964,1900.407079
173640,11000UQ111PS201912153080,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,5213.980739,336.1909705
173641,11000UQ111PS201912153082,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,8957.253523,475.4026697
173642,11000UQ111PS201912153086,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,14809.95698,554.3862428
173643,11000UQ111PS201912153525,UQA100,UQA120,UQA122,UQA122,11000ARZ200912172503,11000NTC200803271870,제2종일반주거지역,11000, ,00:00.0,51390.21184,1046.001819
173644,11000UQ111PS201912155371,UQA100,UQA120,UQA122,UQA122,11000ARZ201712043300,11000NTC201701198000,제2종일반주거지역(12층),11000, ,00:00.0,138127.8167,3374.753003
173645,11000UQ111PS201912155335,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,46742.88346,1580.546912
173646,11000UQ111PS201912155658,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,146548.7704,2456.141673
173647,11000UQ111PS201912155665,UQA100,UQA120,UQA122,UQA122,11000ARZ200901132404,11000NTC200610260471,제2종일반주거지역,11000, ,00:00.0,10327.25408,468.795483
173648,11000UQ111PS201912155666,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,2998.393983,209.8806492
173649,11000UQ111PS201912151564,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,3481.701776,257.2356138
173650,11000UQ111PS201912153860,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,32849.96932,1421.103505
173651,11000UQ111PS201912153864,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,8843.439132,393.0326611
173652,11000UQ111PS201912153719,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,13686.6914,494.6273797
173653,11000UQ111PS201912153723,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,255.7267379,77.31108173
173654,11000UQ111PS201912153724,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,16546.75663,571.0017121
173655,11000UQ111PS201912153733,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,24.0406,29.00735027
173656,11000UQ111PS201912153770,UQA100,UQA120,UQA122,UQA122,11000ARZ200702212326,11000NTC200608240316,제2종일반주거지역,11000, ,00:00.0,1648.621685,164.0926178
173657,11000UQ111PS201912153771,UQA100,UQA120,UQA122,UQA122,11000ARZ201208142821,11000NTC201207266558,제2종일반주거지역(12층),11000, ,00:00.0,17381.96271,545.0345268
173658,11000UQ111PS201912153452,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,84878.75409,2196.709575
173659,11000UQ111PS201912151514,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,6494.432333,521.4871008
173660,11000UQ111PS201912153054,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,2113.445766,194.3152324
173661,11000UQ111PS201912153055,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,19452.55345,591.874375
173662,11000UQ111PS201912153056,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,5796.968924,368.4192142
173663,11000UQ111PS201912151524,UQA100,UQA120,UQA122,UQA122,11000ARZ201203222769,11000NTC200810092264,제2종일반주거지역,11000, ,00:00.0,27731.05178,793.4795699
173664,11000UQ111PS201912151843,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,1726.150242,464.4903001
173665,11000UQ111PS201912151848,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,3354.097311,233.7754773
173666,11000UQ111PS201912151812,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,457576.7192,4129.171774
173667,11000UQ111PS201912151814,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,11663.48028,718.3760827
173668,11000UQ111PS201912153050,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,23628.86605,774.8677232
173669,11000UQ111PS201912152509,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,12.647298,17.20059709
173670,11000UQ111PS201912151549,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,46145.49216,3399.709154
173671,11000UQ111PS201912152256,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,8793.945689,428.1368825
173672,11000UQ111PS201912152257,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,10307.50167,434.9159923
173673,11000UQ111PS201912151591,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,9732.493703,418.261569
173674,11000UQ111PS201912151594,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,11.77792348,19.75195323
173675,11000UQ111PS201912151597,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,455827.4266,12371.59138
173676,11000UQ111PS201912151600,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,42899.68341,1049.868417
173677,11000UQ111PS201912151602,UQA100,UQA120,UQA124,UQA124,11000ARZ200407151498,11000NTC200407156616,제2종일반주거지역(7층이하),11000, ,00:00.0,18235.65893,693.8275324
173678,11000UQ111PS201912151603,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,65528.40253,2171.751898
173679,11000UQ111PS201912151430,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,55225.85441,1087.800051
173680,11000UQ111PS201912153655,UQA100,UQA120,UQA124,UQA124,11000ARZ000000001111, ,제2종일반주거지역(7층이하),11000, ,00:00.0,82351.94145,1319.711491
