"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"172401","11000UQ111PS201912155610","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","198099.20977550","4729.54337508"
"172402","11000UQ111PS201912156449","UQA400","UQA430"," ","UQA430","11000ARZ200104160929","11000NTC200104160500","자연녹지지역","11000"," ","2019-12-15 00:00:00.0","25779.63822997","1074.18581564"
"172403","11000UQ111PS202007196887","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2020-07-19 00:00:00.0","3157.46199205","402.82098969"
"172404","11000UQ111PS202007196888","UQA200","UQA220"," ","UQA220","11000ARZ000000001111"," ","일반상업지역","11000"," ","2020-07-19 00:00:00.0","5916.78867776","996.46383937"
"172405","11000UQ111PS201912152011","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","291688.81828218","3161.29357332"
"172406","11000UQ111PS201912151765","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","32831.12502592","1227.63421450"
"172407","11000UQ111PS201912152348","UQA100","UQA120","UQA124","UQA124","11000ARZ000000001111"," ","제2종일반주거지역(7층이하)","11000"," ","2019-12-15 00:00:00.0","6068.64471205","385.11706922"
"172408","11000UQ111PS201912154587","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","3199.37146979","264.19658805"
"172409","11000UQ111PS201912155112","UQA100","UQA120","UQA123","UQA123","11000ARZ197810020855","11000NTC197810022826","준주거지역","11000"," ","2019-12-15 00:00:00.0","9436.95931902","374.38554466"
"172410","11000UQ111PS201912155710","UQA100","UQA120","UQA123","UQA123","11000ARZ200912113506","11000NTC200205082512","제3종일반주거지역","11000"," ","2019-12-15 00:00:00.0","35217.62476468","2130.07945956"
