"객체id","현황도형 관리번호","도형 대분류코드","도형 중분류코드","도형 소분류코드","도형 속성코드","도형 조서관리 코드","결정고시관리코드","라벨명","시군구코드","도면번호","현황도형 생성일시","면적(도형)","길이(도형)"
"172304","11290UQ111PS201910160037","UQA100","UQA120","UQA123","UQA123","11000ARZ201908130002","11290NTC201908130004","제3종일반주거지역","11290"," ","2019-10-16 00:00:00.0","46256.50398834","1430.59719104"
"172305","11590UQ111PS201908160113","UQA100","UQA120","UQA123","UQA123","11590ARZ201905210003","11590NTC201905210003","제3종일반주거지역","11590"," ","2019-08-16 00:00:00.0","382358.71136534","7455.65910093"
"172306","11380UQ111PS202004290001","UQA100","UQA120","UQA123","UQA123","11380ARZ202004220002","11380NTC202004220001","제3종일반주거지역","11380"," ","2020-04-29 00:00:00.0","336.65678743","235.84548046"
"172307","11000UQ111PS201905210008","UQA100","UQA120","UQA123","UQA123","11000ARZ000000001111"," ","제3종일반주거지역","11000"," ","2019-05-22 00:00:00.0","364999.61082241","10385.92622310"
"172308","11000UQ111PS201912153036","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","42784.39087074","1188.32620072"
"172309","11000UQ111PS201912153039","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","9899.26008566","460.14732485"
"172310","11000UQ111PS201912153149","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","9610.05501954","588.45532369"
"172311","11000UQ111PS201912153205","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","4584.07435203","292.25116385"
"172312","11000UQ111PS201912152953","UQA100","UQA120","UQA122","UQA122","11000ARZ201405133005","11000NTC201404037146","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","7521.63865957","568.09163353"
"172313","11000UQ111PS201912153552","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","14748.84029814","510.26260754"
"172314","11000UQ111PS201912153555","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","23286.76803383","809.25992652"
"172315","11000UQ111PS201912153059","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","3871.92362050","247.19902514"
"172316","11000UQ111PS201912152861","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","71330.43692124","2313.93175734"
"172317","11000UQ111PS201912153675","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","20390.52533436","581.82315757"
"172318","11000UQ111PS201912153676","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","84362.88478509","1449.15163875"
"172319","11000UQ111PS201912153677","UQA100","UQA120","UQA122","UQA122","11000ARZ201708093233","11000NTC201705188116","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","60703.25187379","1231.34451632"
"172320","11000UQ111PS201912153642","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","6190.64875504","420.97644795"
"172321","11000UQ111PS201912153647","UQA100","UQA120","UQA122","UQA122","11000ARZ000000001111"," ","제2종일반주거지역","11000"," ","2019-12-15 00:00:00.0","743.28612040","179.40211098"
